Skill	Description
HP +5	Maximum HP +5
Strength +2	Strength +2
Magic +2	Magic +2
Skill +2	Skill +2
Speed +2	Speed +2
Luck +4	Luck +4
Defense +2	Defence +2
Resistance +2	Resistance +2
Dancing Blade	Speed +3, Defence -1
Heavy Blade	Strength +3, Speed -1
Aptitude	Adds 10% to all growth rates during Level Ups
Supportive	When user is the support unit, if the lead unit has a C Support or higher, the lead unit’s Hit Rate +10, damage +2 and damage received -2
Miraculous Save	When user is the support unit, the lead unit has a Luck% chance of surviving a fatal attack with 1 HP
Fierce Rival	When user is the support unit, if the lead unit triggers a critical hit, the user is guaranteed a critical hit (if their attack connects)
Gallant	When user is the support unit, if the lead unit is female, the lead unit’s damage +2
Dual Striker	When user is the support unit during Tag Team, Dual Strike damage +3
Dual Guarder	When user is the support unit while paired up, shield gauge gain +1
Tactical Advice	When user is the support unit while paired up, lead unit’s Hit rate +10
Competitive	When user is the lead unit and their Level is lower than their support unit’s Level, Critical rate +10, damage +3 and damage received -1
Bushido	When user is the lead unit, if their Level is higher than their support unit’s Level, Critical rate +10, damage +2 and damage received -2
Noble Cause	When user is the lead unit, if their support unit doesn’t have full HP, damage +3 and damage received +1
Guarded Bravery	When user is the lead unit, damage received -2. If no support unit available, damage received +2
Sisterhood	When user is the lead unit, if their support unit is female, damage +2 and damage received -2
Bold Stance	When user is the lead unit, even when paired up, the support unit can trigger Dual Strikes, but enemy Dual Strikes are not passively negated
Defender	When user is the lead unit while paired up, all stats +1
Nohrian Trust	User shares their support unit’s battle skills *2
Devoted Partner	If the Avatar is the lead unit, Avatar’s damage +2, damage received -2
Evasive Partner	If the Avatar is the lead unit, Avatar’s Avoid +15, damage received -3
Forceful Partner	If the Avatar is the lead unit, Avatar’s Hit rate +15, damage +3
Perfectionist	When user’s HP is at maximum, Hit rate and Avoid +15
Perspicacious	Hit rate +5 for all allies
Born Steward	When fighting in My Castle, Hit rate and Avoid +20, damage +2 and damage received -2
Wind Disciple	When user’s HP is not full, Hit rate and Avoid +10
Lancebreaker	Hit rate and Avoid +50 when the enemy is equipped with a Lance
Shurikenbreaker	Hit rate and Avoid +50 when the enemy is equipped with a Dagger
Axebreaker	Hit rate and Avoid +50 when the enemy is equipped with an Axe
Tomebreaker	Hit rate and Avoid +50 when the enemy is equipped with a Tome
Bowbreaker	Hit rate and Avoid +50 when the enemy is equipped with a Bow
Swordbreaker	Hit rate and Avoid +50 when the enemy is equipped with a Sword
Quixotic	User and enemy’s Hit rate +30 and skill activation rate +15% during battle
Lucky Charm	Skills with an activation rate dependent on the Luck stat have their rate increased by 20%
Hoshidan Unity	Adds 10% to skill activation rates
Air Superiority	Hit rate and Avoid +30 when facing Flying enemies
Certain Blow	When user triggers the battle, Hit rate +40
Highwayman	When user triggers the battle, if the enemy cannot counter-attack, enemy’s Strength and Speed -3 after the battle (stats recover by 1 each Turn)
Seal Strength	After battle, enemy’s Strength -6 *1
Seal Resistance	After battle, enemy’s Resistance -6 *1
Seal Defence	After battle, enemy’s Defence -6 *1
Seal Speed	After battle, enemy’s Speed -6 *1
Seal Magic	After battle, enemy’s Magic -6 *1
Draconic Hex	After battle, enemy’s stats -4 *1
Inevitable End	Stat reduction effects on the enemy will stack
Grisly Wound	The enemy’s HP is reduced by 20% after the battle
Fearsome Blow	When user triggers the battle and defeats an enemy, enemies adjacent to the user have their HP reduced by 20%
Playthings	After the start of the user’s Turn, all enemies that are adjacent to the user have their HP reduced by 5
Heartseeker	When fighting adjacent to an enemy, enemy’s Avoid -20
Fierce Mien	Enemies within a 2 tile radius have their Avoid reduced by 10
Misfortunate	Enemies within a 2 tile radius have their Critical Evade reduced by 15, while the user’s Critical Evade is reduced by 5
Veteran Intuition	Critical Evade +15 during battles
Solidarity	Adjacent allies receive Avoid +10 and Critical Evade +10
Lily’s Poise	Adjacent allies deal 1 extra damage and received 3 less damage
Rose’s Thorn	Adjacent allies deal 3 extra damage and receive 1 less damage
Dragon Ward	Allies adjacent to the user have a Luck x 0.5% chance of receiving half damage from enemy attacks
Divine Retribution	When user doesn’t have a weapon equipped and they sustain damage from an adjacent enemy, the enemy receives half the same damage.
Counter	When an adjacent enemy triggers the battle and inflicts damage, the enemy receives the same damage
Countercurse	When enemy triggers the battle and inflicts magical damage, the enemy receives half the same damage
Countermagic	When the enemy triggers the battle and inflicts magical damage, the enemy receives the same damage
Icy Blood	When user’s HP is not full and they sustain damage, the enemy receives the same damage and the enemy’s Skill and Speed is reduced by 3
Triple Threat	When user is under half HP, half the damage received by Swords, Lances or Axes is also dealt to the enemy
Shuriken Mastery	When user receives damage from a Dagger attack, the enemy receives half the same damage and the Dagger’s stat reduction effect
Foreign Princess	“Foreign Army” enemies within a 2 tile radius deal 2 less damage and receive 2 extra damage
Malefic Aura	Enemies within a 2 tile radius receive 2 extra damage from magical attacks
Voice of Peace	Enemies within a 2 tile radius deal 2 less physical damage
Peacebringer	Allies and enemies within a 2 tile radius deal 2 less damage
Quiet Strength	Allies within a 2 tile radius receive 2 less damage
Gentilhomme	Female allies within a 2 tile radius receive 2 less damage during battles
Demoiselle	Male allies within a 2 tile radius receive 2 less damage during battles
Rallying Cry	Allies within a 2 tile radius deal 2 extra damage
Charm	Allies within a 2 tile radius deal 2 extra damage during battles
Inspiration	Allies within a 2 tile radius deal 2 extra damage and receive 2 less damage during battles
Fortunate Son	Allies within a 2 tile radius have their Critical Evade increased by 15, while the user’s Critical Evade is increased by 5
Perfect Pitch	Allies within a 2 tile radius who have lower HP than the user recover 10% HP when the “Rally” command is used
Fancy Footwork	Strength and Speed +1 to all allies within a 2 tile radius for one Turn when the “Rally” command is used
Rally Magic	Magic +4 to all allies within a 2 tile radius for one Turn when the “Rally” command is used
Rally Luck	Luck +8 to all allies within a 2 tile radius for one Turn when the “Rally” command is used
Rally Speed	Speed +4 to all allies within a 2 tile radius for one Turn when the “Rally” command is used
Rally Strength	Strength +4 to all allies within a 2 tile radius for one Turn when the “Rally” command is used
Rally Skill	Skill +4 to all allies within a 2 tile radius for one Turn when the “Rally” command is used
Rally Defence	Defence +4 to all allies within a 2 tile radius for one Turn when the “Rally” command is used
Rally Resistance	Resistance +4 to all allies within a 2 tile radius for one Turn when the “Rally” command is used
Rally Movement	Movement +1 to all allies within a 2 tile radius for one Turn when the “Rally” command is used
Rally Spectrum	All Stats +2 to all allies within a 4 tile radius for one Turn when the Rally command is used
Movement +1	Movement +1
Surefooted	When user is a Ballistician, Movement +1 and all traversable terrain costs 1 movement point to cross
Healing Descant	Allies within a 2 tile radius recover 10% HP at the start of the user’s Turn
Forager	When standing on Mountain, Woods, Waste or Field terrain, the user recovers 20% HP at the start of the Turn
Draconic Heir	When user is equipped with a Dragonstone, they recover 15% HP at the start of their Turn
Haiku	At the start of the Turn, when two allies are directly above and below Mitama, Mitama recovers 7 HP, while the the two allies recover 5 HP
Renewal	Recover 30% HP at the start of the user’s Turn
Camaraderie	Recover 10% HP at the start of the user’s Turn if there are allies within a 2 tile radius
Amaterasu	Allies within a 2 tile radius recover 20% HP at the start of the user’s Turn
